id,pid,name,title,function
1,None,Aveline San,CEO,
2,1,Reporting unknown,,
3,1,Allan HU C.,Managing Director,
4,1,Caren Lee,Managing Director,
5,1,Catherine Wang,Managing Director,
6,1,David Brown,Managing Director,
7,1,Eu Jin Ho,Managing Director,
8,1,James Tong,Managing Director,
9,1,John Z.,Managing Director,TMT
10,1,Joy Cheng,Managing Director,
11,1,Kevin Qian,Managing Director,
12,1,Lei Li,Managing Director,
13,1,Peter Babej,Managing Director,
14,1,Prashant Thakker,Managing Director,
15,1,Steven Lo,Managing Director,
16,1,Udhay Furtado,Managing Director,
17,1,Vincent Au,Managing Director,
18,1,William Tang,Managing Director,
19,2,Albert Chan,Director,
20,2,Amy Zhang,Director,
21,2,Bill Tong,Director,
22,2,John Redick,Director,
23,2,Jun (Matt) LI,Director,
24,2,Kanhui Lin,Director,
25,2,Katie Zhang,Director,
26,2,Kripa Krishnamoorthy,Director,
27,2,Peter Lam,Director,
28,2,Amy Zhang ,Director,
29,28,John Redick,Associate,
